-37.81544790843488, 145.65635442336261

-37.81494947415997, 145.6576827086759

-37.815001941084226, 145.66000720797422

-37.818071191257864, 145.66243132867106

-37.81910559227729, 145.66257186226613

-37.81850402396394, 145.66150152895173

-37.82135016371661, 145.66329471412834

-37.821651821863775, 145.66258076077247

-37.820720612307696, 145.66105323266214

-37.81994678134438, 145.66075436846666

-37.82009105552908, 145.66028946860698

-37.81998592695257, 145.6601966736428

-37.819636049724515, 145.65993613570433

-37.82025347900796, 145.65907636050736
